instituicao,cod_ibge,uf,populacao,indicador_1,Nota_1,indicador_2,Nota_2,indicador_3,nota_3,classificacao_capag
Prefeitura Municipal de Anchieta - ES,3200409,ES,28736,"3,67%",A,"80,00%",A,"17,10%",A,A
Prefeitura Municipal de Anchieta - SC,4200804,SC,5721,"4,85%",A,"95,83%",C,"31,89%",A,C
Prefeitura Municipal de Andaraí - BA,2901304,BA,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Andirá - PR,4101101,PR,20139,"53,02%",A,"88,22%",A,"1,00%",A,A
Prefeitura Municipal de Andorinha - BA,2901353,BA,14690,"19,52%",A,"98,21%",C,"111,76%",C,C
Prefeitura Municipal de Andradas - MG,3102605,MG,40747,"2,49%",A,"89,59%",A,"158,79%",C,C
Prefeitura Municipal de Andradina - SP,3502101,SP,57112,"84,04%",B,"95,66%",C,"31,18%",A,C
Prefeitura Municipal de André da Rocha - RS,4300661,RS,1324,,n.d.,"86,47%",A,"2254,57%",C,n.d.
Prefeitura Municipal de Andrelândia - MG,3102803,MG,12242,,n.d.,"83,00%",A,"4,86%",A,n.d.
Prefeitura Municipal de Angatuba - SP,3502200,SP,24969,"7,24%",A,"88,62%",A,"21,13%",A,A
Prefeitura Municipal de Angelândia - MG,3102852,MG,8481,"9,20%",A,"97,22%",C,"176,11%",C,C
Prefeitura Municipal de Angélica - MS,5000856,MS,10620,"10,24%",A,"89,35%",A,"0,00%",n.d.,n.d.
