cod_mun_ent,uf,nom_municipio_x,1.1,1.3,1.4,1.5,2.1.1,2.1.2,3.1,3.2.2,3.2.3,3.3,3.4,3.5,4.1,4.2,4.3,4.4,qtd_2018_x,Região,idhm,idhm_renda,soma_capag,media_indicadores,mediana_indicadores,sit_obr,sit_predita
420050.0,SC,�guas de Chapec�,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6455,S,0.713,0.7120000000000001,1.0702,0.3567333333333333,0.1041,0.0,0.0
350050.0,SP,�guas de Lind�ia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18599,SE,0.745,0.725,3.6812,1.2270666666666663,0.8979,1.0,1.0
350055.0,SP,�guas de Santa B�rbara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6040,SE,0.757,0.7440000000000001,2.1125,0.7041666666666666,0.978,0.0,0.0
350060.0,SP,�guas de S�o Pedro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3380,SE,0.8540000000000001,0.8490000000000001,0.9618,0.3206,0.0335,1.0,1.0
310090.0,MG,�guas Formosas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19166,SE,0.645,0.624,1.5702,0.5234,0.4057,0.0,0.0
420055.0,SC,�guas Frias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2378,S,0.745,0.728,0.9829,0.3276333333333334,0.0725,0.0,0.0
520025.0,GO,�guas Lindas de Goi�s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207070,CO,0.6859999999999999,0.647,1.2464,0.41546666666666665,0.362,0.0,0.0
420060.0,SC,�guas Mornas,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6378,S,0.723,0.731,0.9013,0.3004333333333333,0.0052,1.0,1.0
310100.0,MG,�guas Vermelhas,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13477,SE,0.601,0.586,20.0752,6.6917333333333335,1.0136,1.0,1.0
430010.0,RS,Agudo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16524,S,0.6940000000000001,0.752,0.8788000000000001,0.2929333333333334,0.0351,0.0,0.0
